Student,Topic,Top_Num,Question,Hints,Compiles,Correct,Start,Finish
,Strings and casting,4,4,0,0,1,2016-04-11  01:18:13.01,2016-04-11  01:18:30.55
,Methods - code reading,6,1,0,0,1,2016-04-11  01:48:21.30,2016-04-11  01:53:39.61
,Methods - code reading,6,2,0,0,1,2016-04-11  01:53:39.61,2016-04-11  01:54:51.54
,Methods - code reading,6,3,0,0,1,2016-04-11  01:54:51.54,2016-04-11  01:58:24.51
,Methods - code reading,6,4,0,0,1,2016-04-11  01:58:24.51,2016-04-11  01:59:19.16
,Methods - code reading,6,5,0,0,1,2016-04-11  01:59:19.16,2016-04-11  02:01:31.08
,Methods - code reading,6,6,0,0,1,2016-04-11  02:01:31.09,2016-04-11  02:05:08.93
,I/O tracing and coding,10,1,40,1,0,2016-04-11  02:36:43.46,2016-04-11  02:48:32.53
,Arrays,9,1,1,0,1,2016-04-11  02:48:33.05,2016-04-11  03:16:26.55
,Arrays,9,2,6,3,0,2016-04-11  03:16:26.55,2016-04-11  03:27:11.83
,Final Prep: Weeks 1-4,11,4,5,0,0,2016-04-11  03:40:10.93,2016-04-11  03:40:35.06
,Final Prep: Weeks 1-4,11,4,6,1,0,2016-04-11  03:42:41.15,2016-04-11  05:03:03.48
,Final Prep: Weeks 1-4,11,5,0,0,1,2016-04-11  05:03:03.48,2016-04-11  05:04:28.64
,Final Prep: Weeks 1-4,11,6,0,0,1,2016-04-11  05:04:28.64,2016-04-11  05:06:02.80
,Final Prep: Weeks 1-4,11,7,7,9,0,2016-04-11  05:06:02.80,2016-04-11  06:00:41.41
,Final Prep: Weeks 1-4,11,8,0,0,1,2016-04-11  06:00:41.41,2016-04-11  06:01:38.70
,Final Prep: Weeks 1-4,11,9,2,0,0,2016-04-11  06:01:38.70,2016-04-11  06:08:47.37
,Final Prep: Weeks 5-9,12,1,11,0,1,2016-04-11  07:29:32.27,2016-04-11  07:30:09.65
,Final Prep: Weeks 5-9,12,2,5,3,0,2016-04-11  07:30:09.65,2016-04-11  07:46:38.20
,Print statements,1,1,0,0,1,2016-04-11  07:47:47.62,2016-04-11  07:48:08.24
,Print statements,1,2,0,0,1,2016-04-11  07:48:08.24,2016-04-11  07:48:33.87
,Print statements,1,3,0,0,0,2016-04-11  07:48:33.87,2016-04-11  07:50:00.32
,Print statements,1,4,0,0,1,2016-04-11  07:50:00.32,2016-04-11  07:50:42.08
,Print statements,1,5,0,0,1,2016-04-11  07:50:42.08,2016-04-11  07:51:28.53
,Print statements,1,6,1,0,0,2016-04-11  07:51:28.53,2016-04-11  07:53:16.04
,Print statements,1,6,0,0,1,2016-04-11  07:53:25.99,2016-04-11  07:53:55.87
,Print statements,1,7,0,0,1,2016-04-11  07:53:55.87,2016-04-11  07:55:42.89
,For-loops - code reading,2,1,0,0,1,2016-04-11  07:55:43.14,2016-04-11  07:59:36.52
,For-loops - code reading,2,2,0,0,1,2016-04-11  07:59:36.52,2016-04-11  08:01:00.89
,For-loops - code reading,2,3,13,0,0,2016-04-11  08:01:00.89,2016-04-11  08:11:57.13
,For-loops - code reading,2,3,3,0,1,2016-04-11  08:12:27.88,2016-04-11  08:16:39.67
,For-loops - code reading,2,4,8,0,0,2016-04-11  08:16:39.67,2016-04-11  08:22:38.22
,Syntax errors,3,1,0,1,0,2016-04-11  08:22:38.55,2016-04-11  08:22:51.32
,Syntax errors,3,2,0,1,0,2016-04-11  08:22:51.32,2016-04-11  08:23:14.49
,Syntax errors,3,3,0,2,0,2016-04-11  08:23:14.49,2016-04-11  08:24:05.35
,Syntax errors,3,4,0,2,0,2016-04-11  08:24:05.35,2016-04-11  08:26:16.77
,Syntax errors,3,5,0,2,0,2016-04-11  08:26:16.77,2016-04-11  08:27:26.15
,Syntax errors,3,6,0,2,0,2016-04-11  08:27:26.15,2016-04-11  08:30:03.94
,Strings and casting,4,1,0,0,1,2016-04-11  08:30:04.32,2016-04-11  08:31:17.66
,For-loops - code writing,5,1,0,1,1,2016-04-11  08:31:39.22,2016-04-11  08:32:42.21
,For-loops - code writing,5,2,0,1,1,2016-04-11  08:32:42.21,2016-04-11  08:33:58.09
,For-loops - code writing,5,3,6,13,0,2016-04-11  08:33:58.09,2016-04-11  08:45:53.85
,For-loops - code writing,5,4,8,2,0,2016-04-11  08:45:53.85,2016-04-11  08:52:54.54
,Writing code: methods and for-loops,8,1,12,4,0,2016-04-11  08:52:59.70,2016-04-11  09:02:12.21
,Writing code: methods and for-loops,8,2,0,2,0,2016-04-11  09:02:12.21,2016-04-11  09:49:17.61
,Writing code: methods and for-loops,8,3,4,2,0,2016-04-11  09:49:17.62,2016-04-11  10:16:46.67
,Writing code: methods and for-loops,8,4,9,14,0,2016-04-11  10:16:46.67,2016-04-11  10:28:29.86
,Writing code: methods and for-loops,8,6,14,0,0,2016-04-11  10:28:34.45,2016-04-11  10:29:34.10
,Final Prep: Weeks 10-13,13,1,8,0,0,2016-04-11  10:42:53.76,2016-04-11  10:44:14.50
,Final Prep: Weeks 10-13,13,2,5,0,0,2016-04-11  10:44:14.50,2016-04-11  10:44:42.10
,Strings and casting,4,1,2,0,0,2016-04-11  10:49:40.24,2016-04-11  10:49:42.62
,More Final Review,14,1,12,0,0,2016-04-11  10:49:42.85,2016-04-11  10:57:58.05
56a6b50bc478dbdffc7190d5,140
,Print statements,1,5,0,0,0,2016-02-02  05:27:30.11,2016-02-02  05:28:42.24
,Writing code: methods and for-loops,8,1,0,2,0,2016-02-02  05:29:28.16,2016-02-02  05:30:32.49
,For-loops - code writing,5,1,1,1,0,2016-02-04  01:08:54.65,2016-02-04  01:10:06.85
,For-loops - code writing,5,3,2,0,0,2016-02-04  01:17:09.18,2016-02-04  01:19:14.72
,For-loops - code writing,5,4,3,0,0,2016-02-04  01:19:14.72,2016-02-04  01:20:24.06
,Writing code: methods and for-loops,8,1,2,2,0,2016-02-04  06:33:10.66,2016-02-04  06:47:29.20
,Writing code: methods and for-loops,8,2,8,0,0,2016-02-04  06:47:29.20,2016-02-04  07:07:37.81
,Writing code: methods and for-loops,8,3,2,0,0,2016-02-04  07:07:37.81,2016-02-04  07:13:48.06
,Writing code: methods and for-loops,8,5,5,0,0,2016-02-04  07:14:17.47,2016-02-04  07:25:49.31
,For-loops - code reading,2,1,3,0,0,2016-02-04  16:32:01.03,2016-02-04  16:34:59.88
,For-loops - code reading,2,2,5,0,0,2016-02-04  16:34:59.88,2016-02-04  16:38:38.76
,Writing code: methods and for-loops,8,1,6,0,0,2016-03-01  05:55:03.85,2016-03-01  06:20:03.92
,I/O tracing and coding,10,1,9,0,0,2016-03-01  06:20:19.92,2016-03-01  06:40:17.79
,I/O tracing and coding,10,3,5,0,0,2016-03-01  06:40:30.97,2016-03-01  06:42:23.89
,Final Prep: Weeks 1-4,11,4,3,0,0,2016-04-07  01:56:59.67,2016-04-07  02:14:17.69
,Final Prep: Weeks 1-4,11,9,2,0,0,2016-04-07  02:17:14.00,2016-04-07  02:33:16.50
,Final Prep: Weeks 10-13,13,1,3,0,0,2016-04-07  02:40:56.16,2016-04-07  02:46:04.88
,More Final Review,14,1,1,0,0,2016-04-07  18:30:14.56,2016-04-07  18:32:04.81
,More Final Review,14,1,7,0,0,2016-04-07  20:46:33.88,2016-04-07  21:07:08.08
,More Final Review,14,2,5,0,0,2016-04-07  21:07:08.08,2016-04-07  21:18:57.87
,More Final Review,14,3,4,0,0,2016-04-07  21:18:57.88,2016-04-07  21:23:53.92
,More Final Review,14,4,1,0,0,2016-04-07  21:23:53.93,2016-04-07  21:38:16.50
,More Final Review,14,5,7,0,0,2016-04-07  21:38:40.74,2016-04-07  22:07:04.80
,More Final Review,14,5,1,0,0,2016-04-07  22:08:17.22,2016-04-07  22:15:31.90
,More Final Review,14,1,6,0,0,2016-04-08  06:11:52.73,2016-04-08  06:14:48.25
,More Final Review,14,6,9,0,0,2016-04-08  06:16:31.62,2016-04-08  06:21:45.82
,More Final Review,14,1,0,1,0,2016-04-08  15:34:03.05,2016-04-08  15:34:08.80
,Final Prep: Weeks 10-13,13,1,4,0,1,2016-04-08  15:34:28.85,2016-04-08  15:46:36.86
,Final Prep: Weeks 10-13,13,2,4,4,0,2016-04-08  15:46:36.86,2016-04-08  15:57:37.59
,Final Prep: Weeks 10-13,13,3,4,0,0,2016-04-08  15:57:37.59,2016-04-08  16:11:29.84
,Final Prep: Weeks 10-13,13,4,4,1,0,2016-04-08  16:11:29.84,2016-04-08  16:33:01.27
,Final Prep: Weeks 1-4,11,1,3,0,1,2016-04-08  16:42:55.86,2016-04-08  16:45:26.94
,Final Prep: Weeks 1-4,11,2,4,0,1,2016-04-08  16:45:26.94,2016-04-08  16:47:54.35
,Final Prep: Weeks 1-4,11,3,0,0,1,2016-04-08  16:47:54.35,2016-04-08  16:48:39.44
,Final Prep: Weeks 1-4,11,4,4,0,0,2016-04-08  16:48:39.44,2016-04-08  17:03:51.77
,Final Prep: Weeks 1-4,11,5,5,0,1,2016-04-08  17:03:51.77,2016-04-08  17:06:18.30
,Final Prep: Weeks 1-4,11,6,0,0,1,2016-04-08  17:06:18.30,2016-04-08  17:08:01.76
,Final Prep: Weeks 1-4,11,8,5,0,0,2016-04-08  17:09:37.85,2016-04-08  17:14:52.36
,Final Prep: Weeks 1-4,11,1,3,0,0,2016-04-08  21:15:02.83,2016-04-08  21:16:37.82
,Final Prep: Weeks 1-4,11,4,0,4,0,2016-04-08  21:16:47.61,2016-04-08  21:20:31.41
,Final Prep: Weeks 1-4,11,5,0,0,1,2016-04-08  21:20:31.42,2016-04-08  21:21:28.65
,Final Prep: Weeks 1-4,11,8,2,0,1,2016-04-08  21:22:07.83,2016-04-08  21:28:52.43
,Final Prep: Weeks 1-4,11,8,2,0,0,2016-04-08  21:29:06.59,2016-04-08  21:29:59.98
,Final Prep: Weeks 1-4,11,9,0,4,1,2016-04-08  21:29:59.98,2016-04-08  21:38:20.32
,Final Prep: Weeks 5-9,12,1,2,0,0,2016-04-08  21:38:20.61,2016-04-08  21:43:30.28
,Final Prep: Weeks 5-9,12,1,5,0,0,2016-04-08  21:44:14.90,2016-04-08  21:48:48.13
,Methods - code reading,6,1,0,0,1,2016-04-08  21:50:48.95,2016-04-08  21:52:02.87
,Methods - code reading,6,2,5,0,0,2016-04-08  21:52:02.87,2016-04-08  21:57:13.56
,Methods - code reading,6,3,4,0,0,2016-04-08  23:01:50.09,2016-04-08  23:04:21.91
,Methods - code reading,6,4,0,0,1,2016-04-08  23:04:21.91,2016-04-08  23:05:50.23
,Methods - code reading,6,5,4,0,0,2016-04-08  23:05:50.23,2016-04-08  23:12:56.17
,Methods - code reading,6,6,6,0,0,2016-04-08  23:12:56.17,2016-04-08  23:20:15.25
,Writing code: methods and for-loops,8,1,4,1,0,2016-04-08  23:20:15.49,2016-04-08  23:28:10.12
,Writing code: methods and for-loops,8,3,4,2,0,2016-04-08  23:28:25.84,2016-04-08  23:32:42.13
,Writing code: methods and for-loops,8,5,9,0,0,2016-04-08  23:33:21.80,2016-04-08  23:43:01.52
,Writing code: methods and for-loops,8,6,7,0,0,2016-04-08  23:43:01.52,2016-04-08  23:53:04.47
,I/O tracing and coding,10,1,10,1,0,2016-04-08  23:53:04.74,2016-04-09  00:07:33.50
,I/O tracing and coding,10,2,6,1,0,2016-04-09  00:07:33.50,2016-04-09  00:13:52.91
,Arrays,9,1,2,0,0,2016-04-09  00:16:28.80,2016-04-09  00:23:33.96
,Arrays,9,2,8,0,0,2016-04-09  00:23:33.96,2016-04-09  00:30:17.96
,Final Prep: Weeks 1-4,11,4,4,0,0,2016-04-09  01:16:32.27,2016-04-09  01:20:20.54
,Final Prep: Weeks 1-4,11,8,0,0,1,2016-04-09  01:20:46.68,2016-04-09  01:23:05.24
,Final Prep: Weeks 1-4,11,9,0,5,0,2016-04-09  01:23:05.24,2016-04-09  01:29:46.52
,Final Prep: Weeks 5-9,12,1,7,0,0,2016-04-09  01:29:46.81,2016-04-09  01:33:45.24
,Final Prep: Weeks 5-9,12,3,3,1,0,2016-04-09  01:34:15.72,2016-04-09  01:36:09.08
,Final Prep: Weeks 10-13,13,1,4,0,0,2016-04-09  02:16:33.81,2016-04-09  02:17:47.60
,More Final Review,14,1,14,3,0,2016-04-10  04:07:42.46,2016-04-10  04:18:59.96
,More Final Review,14,2,6,0,0,2016-04-10  04:18:59.96,2016-04-10  04:23:29.27
,More Final Review,14,3,6,0,0,2016-04-10  04:23:29.27,2016-04-10  04:30:03.37
,More Final Review,14,1,6,0,0,2016-04-10  16:57:21.76,2016-04-10  17:08:36.24
,More Final Review,14,2,7,0,0,2016-04-10  17:08:36.24,2016-04-10  17:14:53.84
,More Final Review,14,1,3,0,0,2016-04-10  17:16:20.58,2016-04-10  17:16:31.11
,More Final Review,14,3,7,0,0,2016-04-10  17:16:31.12,2016-04-10  17:17:25.06
,More Final Review,14,4,1,0,0,2016-04-10  17:17:25.06,2016-04-10  17:33:12.19
,More Final Review,14,5,7,0,0,2016-04-10  17:33:12.19,2016-04-10  17:44:34.31
,More Final Review,14,6,12,0,0,2016-04-10  17:45:30.71,2016-04-10  18:13:24.67
,Final Prep: Weeks 10-13,13,2,4,0,0,2016-04-10  18:14:39.29,2016-04-10  20:55:59.43
,Final Prep: Weeks 1-4,11,1,3,0,1,2016-04-10  23:48:43.27,2016-04-10  23:49:58.37
,Final Prep: Weeks 1-4,11,2,0,0,1,2016-04-10  23:49:58.37,2016-04-10  23:50:15.31
,Final Prep: Weeks 1-4,11,3,0,0,1,2016-04-10  23:50:15.31,2016-04-10  23:50:54.55
,Final Prep: Weeks 1-4,11,5,0,0,1,2016-04-10  23:55:56.16,2016-04-10  23:57:01.13
,Final Prep: Weeks 1-4,11,6,0,0,1,2016-04-10  23:57:01.13,2016-04-10  23:57:54.37
,Final Prep: Weeks 1-4,11,7,8,0,0,2016-04-10  23:57:54.37,2016-04-11  00:03:27.65
,Final Prep: Weeks 1-4,11,8,0,0,1,2016-04-11  00:03:27.66,2016-04-11  00:05:14.88
,Final Prep: Weeks 1-4,11,9,2,1,0,2016-04-11  00:05:14.88,2016-04-11  00:12:00.39
,Final Prep: Weeks 5-9,12,1,7,0,0,2016-04-11  00:12:33.42,2016-04-11  00:25:31.57
,Final Prep: Weeks 5-9,12,2,4,0,0,2016-04-11  00:25:31.57,2016-04-11  00:27:35.45
,Final Prep: Weeks 5-9,12,3,1,0,0,2016-04-11  00:27:35.45,2016-04-11  00:35:26.49
,Final Prep: Weeks 5-9,12,4,4,0,0,2016-04-11  00:35:26.49,2016-04-11  00:45:30.24
,Final Prep: Weeks 10-13,13,2,3,0,0,2016-04-11  00:47:20.59,2016-04-11  00:52:49.64
,Final Prep: Weeks 10-13,13,3,4,0,0,2016-04-11  00:53:59.59,2016-04-11  01:05:33.23
,Final Prep: Weeks 10-13,13,4,4,0,0,2016-04-11  01:05:33.23,2016-04-11  01:12:31.47
,More Final Review,14,1,8,0,0,2016-04-11  01:12:31.69,2016-04-11  01:14:16.62
,More Final Review,14,4,1,0,0,2016-04-11  01:15:36.37,2016-04-11  01:53:45.52
,More Final Review,14,5,10,0,0,2016-04-11  01:53:45.52,2016-04-11  02:08:27.67
,More Final Review,14,6,7,0,0,2016-04-11  02:08:27.67,2016-04-11  02:13:45.70
,Print statements,1,3,4,0,0,2016-04-11  02:17:54.22,2016-04-11  02:21:07.38
,Print statements,1,4,4,0,0,2016-04-11  02:21:07.38,2016-04-11  02:22:24.19
,Print statements,1,5,0,0,1,2016-04-11  02:22:24.19,2016-04-11  02:23:49.22
,Print statements,1,6,0,0,1,2016-04-11  02:23:49.22,2016-04-11  02:24:52.55
,Print statements,1,7,17,0,0,2016-04-11  02:24:52.55,2016-04-11  02:30:00.34
,For-loops - code reading,2,1,3,0,0,2016-04-11  02:30:00.54,2016-04-11  02:31:38.70
,For-loops - code reading,2,3,11,0,0,2016-04-11  02:32:03.00,2016-04-11  02:40:49.81
,For-loops - code reading,2,4,8,0,0,2016-04-11  02:40:49.81,2016-04-11  02:45:38.63
,Syntax errors,3,1,0,1,0,2016-04-11  02:45:38.93,2016-04-11  02:46:00.11
,Syntax errors,3,2,0,1,0,2016-04-11  02:46:00.11,2016-04-11  02:46:33.39
,Syntax errors,3,3,5,2,0,2016-04-11  02:46:33.39,2016-04-11  02:48:31.67
,Syntax errors,3,4,2,2,0,2016-04-11  02:48:31.67,2016-04-11  02:50:03.08
,Syntax errors,3,5,0,1,0,2016-04-11  02:50:03.08,2016-04-11  02:51:14.93
,Syntax errors,3,6,5,4,0,2016-04-11  02:51:14.93,2016-04-11  02:54:59.48
,Strings and casting,4,1,6,0,0,2016-04-11  02:54:59.69,2016-04-11  02:58:34.28
,Strings and casting,4,2,1,0,0,2016-04-11  02:58:34.28,2016-04-11  03:06:15.60
,Strings and casting,4,3,1,0,0,2016-04-11  03:06:15.60,2016-04-11  03:08:14.62
,Strings and casting,4,4,1,0,1,2016-04-11  03:08:14.62,2016-04-11  03:08:57.61
,Strings and casting,4,5,2,0,0,2016-04-11  03:08:57.61,2016-04-11  03:09:58.25
,For-loops - code writing,5,1,4,0,0,2016-04-11  03:10:07.41,2016-04-11  03:10:52.03
,For-loops - code writing,5,2,0,1,0,2016-04-11  03:10:52.03,2016-04-11  03:12:38.32
,Methods - code reading,6,3,1,0,0,2016-04-11  03:14:04.69,2016-04-11  03:14:56.49
,Methods - code reading,6,4,0,0,1,2016-04-11  03:14:56.49,2016-04-11  03:17:42.12
,Methods - code reading,6,5,0,0,1,2016-04-11  03:17:42.12,2016-04-11  03:20:04.28
,Methods - code reading,6,6,6,0,1,2016-04-11  03:20:04.28,2016-04-11  03:27:10.39
,Writing code: methods and for-loops,8,1,0,5,0,2016-04-11  03:27:10.63,2016-04-11  03:31:24.90
,Strings and casting,4,1,0,2,0,2016-04-11  03:51:10.30,2016-04-11  03:51:20.73
,Writing code: methods and for-loops,8,3,4,0,0,2016-04-11  03:51:30.01,2016-04-11  03:53:34.03
,Writing code: methods and for-loops,8,5,6,1,0,2016-04-11  03:53:49.32,2016-04-11  04:03:28.91
,Writing code: methods and for-loops,8,6,10,0,0,2016-04-11  04:03:28.91,2016-04-11  04:09:02.29
,I/O tracing and coding,10,1,10,3,0,2016-04-11  04:09:02.64,2016-04-11  04:16:19.31
,I/O tracing and coding,10,2,8,0,0,2016-04-11  04:16:19.31,2016-04-11  04:20:09.44
,I/O tracing and coding,10,3,10,0,0,2016-04-11  04:20:09.44,2016-04-11  04:22:07.41
,Final Prep: Weeks 1-4,11,4,3,0,0,2016-04-11  16:18:19.25,2016-04-11  16:22:46.81
,Final Prep: Weeks 1-4,11,7,7,0,0,2016-04-11  16:23:13.81,2016-04-11  16:25:20.18
,Final Prep: Weeks 1-4,11,9,3,7,0,2016-04-11  16:26:20.19,2016-04-11  16:36:09.44
,Final Prep: Weeks 5-9,12,4,4,0,0,2016-04-11  16:37:49.16,2016-04-11  16:38:57.27
,Final Prep: Weeks 10-13,13,2,3,2,0,2016-04-11  16:39:08.75,2016-04-11  16:44:31.36
,Final Prep: Weeks 10-13,13,4,6,0,0,2016-04-11  16:47:58.66,2016-04-11  16:56:33.96
,Final Prep: Weeks 10-13,13,4,7,0,0,2016-04-11  16:58:32.21,2016-04-11  16:58:40.17
,More Final Review,14,1,8,0,0,2016-04-11  16:58:40.33,2016-04-11  17:15:11.93
,More Final Review,14,3,8,0,0,2016-04-11  17:15:41.70,2016-04-11  17:21:33.36
,More Final Review,14,4,1,0,0,2016-04-11  17:21:33.36,2016-04-11  17:34:23.86
,More Final Review,14,5,7,0,0,2016-04-11  17:34:40.32,2016-04-11  17:36:07.53
56a6b521c478dbdffc719104,109
,Print statements,1,1,0,0,1,2016-01-29  00:55:04.14,2016-01-29  00:55:37.86
,Print statements,1,2,0,0,1,2016-01-29  00:55:37.87,2016-01-29  00:56:23.49
,Print statements,1,3,0,0,1,2016-01-29  00:56:23.49,2016-01-29  00:57:25.53
,Print statements,1,4,0,0,1,2016-01-29  00:57:25.53,2016-01-29  00:59:00.55
,Print statements,1,5,1,0,0,2016-01-29  00:59:00.55,2016-01-29  01:19:01.25
,Print statements,1,5,0,0,0,2016-01-29  01:19:33.02,2016-01-29  01:38:41.45
,Print statements,1,6,0,0,1,2016-01-29  01:38:41.45,2016-01-29  01:51:38.85
,Print statements,1,1,0,0,1,2016-03-02  17:00:26.35,2016-03-02  17:01:03.70
,Print statements,1,2,0,0,1,2016-03-02  17:01:03.71,2016-03-02  17:01:50.62
,Print statements,1,3,0,0,1,2016-03-02  17:01:50.62,2016-03-02  17:05:08.44
,Print statements,1,4,0,0,1,2016-03-02  17:05:08.44,2016-03-02  17:06:05.78
,Print statements,1,5,1,0,0,2016-03-02  17:06:05.78,2016-03-02  17:15:25.53
,Print statements,1,6,2,0,1,2016-03-02  17:15:40.00,2016-03-02  17:17:59.67
,Print statements,1,5,0,0,0,2016-03-02  17:17:59.67,2016-03-02  17:21:57.67
,Print statements,1,7,1,0,0,2016-03-02  17:22:07.23,2016-03-02  17:26:40.16
,For-loops - code reading,2,1,0,0,1,2016-03-02  17:26:40.51,2016-03-02  17:33:03.52
,For-loops - code reading,2,2,0,0,1,2016-03-02  17:33:03.52,2016-03-02  17:44:09.54
,For-loops - code reading,2,3,0,0,0,2016-03-02  17:44:09.55,2016-03-02  18:01:54.14
,For-loops - code reading,2,4,0,0,1,2016-03-02  18:01:54.14,2016-03-02  18:10:23.29
,Syntax errors,3,1,0,2,0,2016-03-02  18:10:23.59,2016-03-02  18:11:25.15
,Syntax errors,3,1,0,1,0,2016-03-02  18:11:48.27,2016-03-02  18:11:53.64
,Syntax errors,3,2,0,1,0,2016-03-02  18:11:53.64,2016-03-02  18:12:14.28
,Syntax errors,3,3,0,1,1,2016-03-02  18:12:14.28,2016-03-02  18:12:42.65
,Syntax errors,3,4,0,4,0,2016-03-02  18:12:42.65,2016-03-02  18:13:42.29
,Syntax errors,3,5,0,2,0,2016-03-02  18:13:42.29,2016-03-02  18:15:32.27
,Syntax errors,3,6,0,2,0,2016-03-02  18:15:32.27,2016-03-02  18:17:01.09
,Strings and casting,4,1,1,0,0,2016-03-02  18:17:01.57,2016-03-02  18:25:34.56
,For-loops - code writing,5,1,0,4,1,2016-03-02  19:49:32.75,2016-03-02  19:51:59.20
,For-loops - code writing,5,2,0,4,0,2016-03-02  19:51:59.20,2016-03-02  19:54:03.28
,For-loops - code writing,5,3,0,15,0,2016-03-02  19:54:03.28,2016-03-02  20:25:42.82
,For-loops - code writing,5,4,0,2,0,2016-03-02  20:25:42.82,2016-03-02  20:30:00.36
,For-loops - code writing,5,5,0,10,1,2016-03-02  20:30:00.36,2016-03-02  20:37:04.64
,For-loops - code writing,5,6,0,3,1,2016-03-02  20:37:04.64,2016-03-02  20:39:42.83
,For-loops - code writing,5,1,0,1,0,2016-03-02  23:31:43.10,2016-03-02  23:31:46.43
,For-loops - code writing,5,7,1,11,0,2016-03-02  23:31:50.91,2016-03-02  23:46:36.32
,Methods - code reading,6,1,0,0,1,2016-03-02  23:50:03.31,2016-03-02  23:50:32.83
,Methods - code reading,6,2,0,0,1,2016-03-02  23:50:32.83,2016-03-02  23:51:33.64
,Methods - code reading,6,3,0,0,1,2016-03-02  23:51:33.64,2016-03-02  23:52:56.45
,Methods - code reading,6,4,0,0,1,2016-03-02  23:52:56.45,2016-03-02  23:55:18.97
,Methods - code reading,6,5,1,0,0,2016-03-02  23:55:18.97,2016-03-03  00:02:00.56
,Methods - code reading,6,5,0,0,0,2016-03-03  00:02:14.70,2016-03-03  00:05:43.16
,Methods - code reading,6,6,0,0,0,2016-03-03  00:05:43.16,2016-03-03  00:09:04.74
,Writing code: methods and for-loops,8,1,16,16,0,2016-03-03  02:30:04.80,2016-03-03  02:36:12.94
,Writing code: methods and for-loops,8,2,0,2,1,2016-03-03  02:36:12.94,2016-03-03  02:41:01.23
,Writing code: methods and for-loops,8,3,0,8,0,2016-03-03  02:57:02.02,2016-03-03  03:10:28.76
,Writing code: methods and for-loops,8,1,0,7,0,2016-03-03  03:51:54.74,2016-03-03  03:52:00.82
,Writing code: methods and for-loops,8,5,7,0,0,2016-03-03  04:09:41.45,2016-03-03  04:10:28.65
,Arrays,9,1,0,0,1,2016-03-03  04:58:08.87,2016-03-03  05:02:41.19
,Arrays,9,2,6,4,0,2016-03-03  05:02:41.19,2016-03-03  05:24:43.34
,Final Prep: Weeks 1-4,11,1,0,0,1,2016-04-10  19:19:19.60,2016-04-10  19:19:53.62
,Final Prep: Weeks 1-4,11,2,0,0,1,2016-04-10  19:19:53.62,2016-04-10  19:20:18.02
,Final Prep: Weeks 1-4,11,3,3,0,1,2016-04-10  19:20:18.02,2016-04-10  19:22:55.59
,Final Prep: Weeks 1-4,11,4,3,0,0,2016-04-10  19:22:55.59,2016-04-10  19:27:44.15
,Print statements,1,1,0,0,1,2016-04-10  19:27:44.45,2016-04-10  19:28:06.57
,Print statements,1,2,0,0,1,2016-04-10  19:28:06.57,2016-04-10  19:28:40.16
,Print statements,1,3,0,0,1,2016-04-10  19:28:40.16,2016-04-10  19:29:29.40
,Print statements,1,4,0,0,1,2016-04-10  19:29:29.40,2016-04-10  19:30:09.87
,Print statements,1,5,2,0,1,2016-04-10  19:30:09.87,2016-04-10  19:31:44.77
,Print statements,1,6,0,0,1,2016-04-10  19:31:44.77,2016-04-10  19:32:04.37
,Print statements,1,7,0,0,1,2016-04-10  19:32:04.37,2016-04-10  19:33:14.67
,For-loops - code reading,2,1,0,0,1,2016-04-10  19:33:14.95,2016-04-10  19:34:05.03
,For-loops - code reading,2,2,0,0,1,2016-04-10  19:34:05.03,2016-04-10  19:36:00.45
,For-loops - code reading,2,3,7,0,1,2016-04-10  19:36:00.45,2016-04-10  19:44:48.36
,For-loops - code reading,2,3,7,0,0,2016-04-10  19:45:04.10,2016-04-10  19:48:02.98
,For-loops - code reading,2,4,8,0,1,2016-04-10  19:48:02.99,2016-04-10  19:54:11.80
,Syntax errors,3,1,0,1,0,2016-04-10  19:54:12.07,2016-04-10  19:54:38.98
,Syntax errors,3,2,0,2,0,2016-04-10  19:54:38.98,2016-04-10  19:55:16.14
,Syntax errors,3,3,0,2,0,2016-04-10  19:55:16.14,2016-04-10  19:55:46.89
,Syntax errors,3,4,0,2,0,2016-04-10  19:55:46.89,2016-04-10  19:56:28.01
,Syntax errors,3,5,0,2,0,2016-04-10  19:56:28.02,2016-04-10  19:57:37.14
,Syntax errors,3,6,0,1,0,2016-04-10  19:57:37.14,2016-04-10  19:58:34.34
,Strings and casting,4,1,2,0,1,2016-04-10  19:58:34.61,2016-04-10  23:20:46.74
,Strings and casting,4,2,2,0,1,2016-04-10  23:20:46.74,2016-04-10  23:27:43.16
,Strings and casting,4,3,2,0,1,2016-04-10  23:27:43.17,2016-04-10  23:36:12.26
,Strings and casting,4,4,1,0,1,2016-04-10  23:36:12.26,2016-04-10  23:38:13.83
,Strings and casting,4,5,2,0,1,2016-04-10  23:38:13.83,2016-04-10  23:41:13.12
,Strings and casting,4,6,2,0,1,2016-04-10  23:41:13.12,2016-04-10  23:46:15.61
,For-loops - code writing,5,1,0,2,1,2016-04-10  23:46:16.01,2016-04-10  23:47:21.50
,For-loops - code writing,5,2,0,1,1,2016-04-10  23:47:21.51,2016-04-10  23:49:13.16
,For-loops - code writing,5,3,0,5,1,2016-04-10  23:49:13.16,2016-04-10  23:55:59.84
,For-loops - code writing,5,4,0,1,1,2016-04-10  23:55:59.85,2016-04-11  00:00:25.39
,For-loops - code writing,5,5,0,1,1,2016-04-11  00:00:25.39,2016-04-11  00:03:46.15
,For-loops - code writing,5,7,4,0,0,2016-04-11  03:56:46.09,2016-04-11  04:12:05.11
