semester1,,,semester2,,,semester3,,,semester4,
userID,Final Exam,,userID,Final Exam,,userID,finalExam,,userID,finalExam
54db0c6627541070e9415a21,51.95121951,,556941e4502cc43ec04c6851,95.41666667,,560dadcbb3d6aa670a1e1411,50,,56a6b4fac478dbdffc7190b2,64.72
54db0c6527541070e9415a1c,53.41463415,,556941e8502cc43ec04c6861,100,,560dad7fb3d6aa670a1e133c,54,,56a6b50bc478dbdffc7190d5,65.44
54db0c3827541070e9415971,53.65853659,,556941e9502cc43ec04c6862,100,,560dadf0b3d6aa670a1e1459,54,,56a6b4f5c478dbdffc7190a8,65.54
54db0c5b27541070e94159de,55,,556941de502cc43ec04c6837,100,,560dadcab3d6aa670a1e140e,55,,56a6b50fc478dbdffc7190dc,65.64
54db0c4127541070e9415990,56.09756098,,556941e2502cc43ec04c6848,100,,560dad8cb3d6aa670a1e135f,55,,56a6b511c478dbdffc7190e1,66.28
54db0c5c27541070e94159e0,56.58536585,,,,,560dadc7b3d6aa670a1e1401,57,,56a6b4eac478dbdffc719091,68.16
54db0c3c27541070e9415980,57.07317073,,,,,560dadc0b3d6aa670a1e13ed,59,,56a6b4e1c478dbdffc71907d,68.92
54db0c5527541070e94159cb,57.56097561,,,,,560dada6b3d6aa670a1e13ac,60,,56a6b4dfc478dbdffc719079,69.42
54db0c5a27541070e94159db,57.80487805,,,,,560dadc8b3d6aa670a1e1405,61,,56a6b521c478dbdffc719104,69.56
54db0c5e27541070e94159ed,59.51219512,,,,,560dad85b3d6aa670a1e134d,61,,56a6b506c478dbdffc7190c9,70.52
54db0c6627541070e9415a25,59.75609756,,,,,560dadedb3d6aa670a1e1450,61,,56a6b4d8c478dbdffc719068,70.76
54db0c6327541070e9415a08,61.2195122,,,,,560dadf7b3d6aa670a1e146c,62,,56a6b4e7c478dbdffc719089,70.84
54db0c6027541070e94159f5,61.25,,,,,560dadd8b3d6aa670a1e1431,62,,56a6b516c478dbdffc7190ec,71.28
54db0c6527541070e9415a1b,61.46341463,,,,,560dadcab3d6aa670a1e140b,63,,56a6b4dac478dbdffc71906d,71.48
54db0c3f27541070e9415989,62.19512195,,,,,560dadc1b3d6aa670a1e13ee,64,,56a6b51bc478dbdffc7190f7,71.64
54db0c6827541070e9415a2e,62.92682927,,,,,560dad87b3d6aa670a1e1352,64,,56a6b4d7c478dbdffc719067,71.8
54db0c5827541070e94159d6,63.65853659,,,,,560dad6fb3d6aa670a1e1311,65,,56a6b522c478dbdffc719106,71.88
54db0c4327541070e9415996,64.14634146,,,,,560dad99b3d6aa670a1e1389,65,,56a6b4dbc478dbdffc71906f,72.24
54db0c6727541070e9415a2b,64.375,,,,,560dadffb3d6aa670a1e146f,66,,56a6b4dac478dbdffc71906e,73.02
54db0c6127541070e94159fd,64.3902439,,,,,560dad74b3d6aa670a1e131f,66,,56a6b4d9c478dbdffc71906c,73.3
54db0c3f27541070e941598a,64.87804878,,,,,560dadb9b3d6aa670a1e13d8,67,,56a6b514c478dbdffc7190e8,73.3
54db0c5d27541070e94159e4,65,,,,,560dade5b3d6aa670a1e144d,67,,56a6b507c478dbdffc7190cc,74.48
54db0c3a27541070e9415979,65.85365854,,,,,560dada9b3d6aa670a1e13b2,67,,56aa9826c478dbdffc7192e5,75.36
54db0c5827541070e94159d5,66.58536585,,,,,560dadafb3d6aa670a1e13be,68,,56a6b52bc478dbdffc719117,75.94
54db0c6527541070e9415a1d,67.5,,,,,560dad80b3d6aa670a1e1340,69,,56a6b4dec478dbdffc719078,76.48
54db0c4627541070e941599e,68.04878049,,,,,560daddbb3d6aa670a1e143d,69,,56a6b504c478dbdffc7190c6,77.5
54db0c6027541070e94159f6,68.53658537,,,,,560dadcfb3d6aa670a1e141c,70,,56a6b528c478dbdffc719111,77.66
54db0c5d27541070e94159e7,69.26829268,,,,,560dadccb3d6aa670a1e1413,70,,56a6b4e6c478dbdffc719088,78.22
54db0c5927541070e94159d8,69.26829268,,,,,560dad7cb3d6aa670a1e1336,71,,56a6b4d7c478dbdffc719066,79.24
54db0c3e27541070e9415987,69.375,,,,,560dade4b3d6aa670a1e1448,71,,56a6b4f0c478dbdffc71909d,79.48
54db0c6327541070e9415a0b,70,,,,,560dade3b3d6aa670a1e1445,71,,56a6b4fdc478dbdffc7190b8,79.54
54db0c5f27541070e94159ef,70,,,,,560dad73b3d6aa670a1e131d,71,,56a6b52cc478dbdffc719118,79.64
54db0c4227541070e9415992,71.70731707,,,,,560dad72b3d6aa670a1e1319,72,,56a6b502c478dbdffc7190c2,79.82
54db0c3a27541070e9415977,71.875,,,,,560dad80b3d6aa670a1e133f,72,,56a6b504c478dbdffc7190c5,79.96
54db0c6327541070e9415a06,71.875,,,,,560dad77b3d6aa670a1e1326,72,,56a6b52bc478dbdffc719116,80.14
54db0c5327541070e94159c6,72.43902439,,,,,560dade0b3d6aa670a1e1440,72,,56a6b50fc478dbdffc7190db,80.68
54db0c4427541070e9415999,72.5,,,,,560dada9b3d6aa670a1e13b0,74,,56a6b4dec478dbdffc719076,80.88
